Ticker,LatestPrice,ADV_$,ZeroRetFrac,NumObs,FirstDate,LastDate,Keep,Fail_Price,Fail_ADV,Fail_Stale
CLZ.AX,0.0010000000474974513,0.0,0.7612679544328875,2019,2018-01-02,2025-12-19,False,True,True,True
KNM.AX,0.0020000000949949026,0.0,0.5626547795938583,2019,2018-01-02,2025-12-19,False,True,True,True
FCG.AX,0.03700000047683716,0.0,0.9465081723625557,2019,2018-01-02,2025-12-19,False,False,True,True
ENN.AX,0.8199999928474426,0.0,0.32590391282813275,2019,2018-01-02,2025-12-19,False,False,True,True
MSI.AX,0.004999999888241291,51.035665525930625,0.8722139673105498,2019,2018-01-02,2025-12-19,False,True,True,True
AVD.AX,0.14000000059604645,496.0560015546779,0.8276374442793462,2019,2018-01-02,2025-12-19,False,False,True,True
TIA.AX,0.3199999928474426,1062.5650919911761,0.8424962852897474,2019,2018-01-02,2025-12-19,False,False,True,True
INV.AX,0.11999999731779099,2670.734504733483,0.7320455671124318,2019,2018-01-02,2025-12-19,False,False,True,True
PTL.AX,0.04600000008940697,3057.2727935445805,0.3684992570579495,2019,2018-01-02,2025-12-19,False,False,True,True
APW.AX,3.119999885559082,3671.7601944684984,0.6463595839524517,2019,2018-01-02,2025-12-19,False,False,True,True
NTD.AX,0.23999999463558197,5465.266474435975,0.26300148588410105,2019,2018-01-02,2025-12-19,False,False,True,True
ACU.AX,0.07500000298023224,6356.710421988492,0.5611688954928182,2019,2018-01-02,2025-12-19,False,False,True,True
VEN.AX,0.004000000189989805,7031.103633362288,0.42000990589400694,2019,2018-01-02,2025-12-19,False,True,True,True
VMT.AX,0.07000000029802322,7156.654710067001,0.31005448241703815,2019,2018-01-02,2025-12-19,False,False,True,True
GTN.AX,0.29499998688697815,9449.09088698576,0.35611688954928183,2019,2018-01-02,2025-12-19,False,False,True,True
BPH.AX,0.008999999612569809,9881.54098710871,0.532937097573056,2019,2018-01-02,2025-12-19,False,True,True,True
NOU.AX,0.12999999523162842,13002.377926693609,0.283308568598316,2019,2018-01-02,2025-12-19,False,False,True,True
CLG.AX,0.03500000014901161,14983.181887932742,0.6166419019316494,2019,2018-01-02,2025-12-19,False,False,True,True
X2M.AX,0.009999999776482582,17010.064900965972,0.7999009410599307,2019,2018-01-02,2025-12-19,False,True,True,True
AHE.AX,0.01899999938905239,18872.51278347637,0.9910846953937593,2019,2018-01-02,2025-12-19,False,False,True,True
RPM.AX,0.052000001072883606,19506.05106769887,0.5165923724616147,2019,2018-01-02,2025-12-19,False,False,True,True
AIQ.AX,1.4800000190734863,21087.444459617138,0.8776622090143635,2019,2018-01-02,2025-12-19,False,False,True,True
CCG.AX,0.07199999690055847,32494.840353657306,0.512630014858841,2019,2018-01-02,2025-12-19,False,False,True,True
DTI.AX,0.012000000104308128,34424.061964785215,0.7543338286280337,2019,2018-01-02,2025-12-19,False,False,True,True
BNL.AX,0.007000000216066837,35521.86167295296,0.45022288261515603,2019,2018-01-02,2025-12-19,False,True,True,True
EWC.AX,0.050999999046325684,36422.132422187926,0.34373452204061417,2019,2018-01-02,2025-12-19,False,False,True,True
SFX.AX,0.06800000369548798,56967.93069467073,0.2050520059435364,2019,2018-01-02,2025-12-19,False,False,False,True
AMS.AX,0.027000000700354576,57158.71783626592,0.42149578999504705,2019,2018-01-02,2025-12-19,False,False,False,True
CAN.AX,0.008999999612569809,62724.4042622924,0.26349678058444775,2019,2018-01-02,2025-12-19,False,True,False,True
BFL.AX,8.100000381469727,63251.88089089394,0.6151560178306092,2019,2018-01-02,2025-12-19,False,False,False,True
MFD.AX,0.47999998927116394,122529.8073124816,0.34224863793957405,2019,2018-01-02,2025-12-19,False,False,False,True
STP.AX,0.3400000035762787,144140.12749116172,0.5626547795938583,2019,2018-01-02,2025-12-19,False,False,False,True
LSX.AX,0.9850000143051147,147329.91415554384,0.7533432392273403,2019,2018-01-02,2025-12-19,False,False,False,True
ILA.AX,0.4650000035762787,265513.1793896764,0.6394254581475978,2019,2018-01-02,2025-12-19,False,False,False,True
DAI.AX,0.6299999952316284,938194.635581251,0.9053987122337791,2019,2018-01-02,2025-12-19,False,False,False,True
DGT.AX,2.75,6484756.4171857,0.8761763249133234,2019,2018-01-02,2025-12-19,False,False,False,True
VGN.AX,3.450000047683716,7901660.795485512,0.9440316988608222,2019,2018-01-02,2025-12-19,False,False,False,True
GYG.AX,22.059999465942383,8195293.042730077,0.8122833085685983,2019,2018-01-02,2025-12-19,False,False,False,True
EDV.AX,3.640000104904175,11080645.327997688,0.4814264487369985,2019,2018-01-02,2025-12-19,False,False,False,True
MCP.AX,0.24500000476837158,79747.15801362296,0.1817731550272412,2019,2018-01-02,2025-12-19,True,False,False,False
KSL.AX,1.2400000095367432,224405.4152107199,0.1644378405151065,2019,2018-01-02,2025-12-19,True,False,False,False
AQZ.AX,1.2599999904632568,825007.8693044703,0.11589895988112928,2019,2018-01-02,2025-12-19,True,False,False,False
SPK.AX,1.9450000524520874,2455803.8219834985,0.09856364536899455,2019,2018-01-02,2025-12-19,True,False,False,False
MTS.AX,3.2799999713897705,13477030.001650631,0.10401188707280833,2019,2018-01-02,2025-12-19,True,False,False,False
AGL.AX,9.350000381469727,22597642.117898002,0.03070827142149579,2019,2018-01-02,2025-12-19,True,False,False,False
COL.AX,21.540000915527344,51175201.29170564,0.13719663199603765,2019,2018-01-02,2025-12-19,True,False,False,False
QAN.AX,10.25,56942654.30053571,0.05101535413571075,2019,2018-01-02,2025-12-19,True,False,False,False
QBE.AX,19.799999237060547,72114935.52321742,0.027241208519068846,2019,2018-01-02,2025-12-19,True,False,False,False
EVN.AX,12.619999885559082,85573452.30556919,0.05151064883605745,2019,2018-01-02,2025-12-19,True,False,False,False
BHP.AX,44.36000061035156,356077788.5322251,0.011391778107974244,2019,2018-01-02,2025-12-19,True,False,False,False
